Game,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Grand Theft Auto V,Action,Rockstar Games,6.06,9.71,0.6,3.02,19.39
Call of Duty: Black Ops 3,Shooter,Activision,6.18,6.05,0.41,2.44,15.09
Red Dead Redemption 2,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94
Call of Duty: WWII,Shooter,Activision,4.67,6.21,0.4,2.12,13.4
FIFA 18,Sports,EA Sports,1.27,8.64,0.15,1.73,11.8
FIFA 17,Sports,Electronic Arts,1.26,7.95,0.12,1.61,10.94
Uncharted (PS4),Action,Sony Interactive Entertainment,4.49,3.93,0.21,1.7,10.33
Spider-Man (PS4),Action-Adventure,Sony Interactive Entertainment,3.64,3.39,0.32,1.41,8.76
Call of Duty: Infinite Warfare,Shooter,Activision,3.11,3.83,0.19,1.36,8.48
Fallout 4,Role-Playing,Bethesda Softworks,2.91,3.97,0.27,1.34,8.48
FIFA 16,Sports,EA Sports,1.15,5.77,0.07,1.23,8.22
Star Wars Battlefront 2015,Shooter,Electronic Arts,3.31,3.19,0.23,1.3,8.03
Call of Duty: Advanced Warfare,Shooter,Activision,2.84,3.34,0.14,1.22,7.53
Battlefield 1,Shooter,Electronic Arts,2.2,3.65,0.29,1.12,7.26
The Last of Us,Action-Adventure,Sony Computer Entertainment,2.7,2.86,0.11,1.1,6.77
MineCraft,Misc,Sony Computer Entertainment,1.89,3.13,0.35,0.96,6.33
FIFA 15,Sports,EA Sports,0.83,4.49,0.05,0.94,6.32
God of War (PS4),Action,Sony Interactive Entertainment,2.83,2.17,0.13,1.02,6.15
Horizon: Zero Dawn,Action,Sony Interactive Entertainment,2.2,2.43,0.28,0.92,5.82
Destiny,Shooter,Activision,2.53,2.13,0.16,0.94,5.76
Uncharted: The Nathan Drake Collection,Action,Sony Computer Entertainment,2.55,2.11,0.1,0.94,5.7
The Witcher 3: Wild Hunt,Role-Playing,Namco Bandai Games,1.48,2.82,0.28,0.81,5.39
Final Fantasy XV,Role-Playing,Square Enix,1.81,1.53,1.05,0.68,5.07
Crash Bandicoot N. Sane Trilogy,Platform,Activision,1.09,2.92,0.07,0.74,4.83
Monster Hunter: World,Action,Capcom,1.03,1.06,2.17,0.42,4.67
Overwatch,Shooter,Blizzard Entertainment,1.84,1.8,0.17,0.73,4.54
